Start performance test

Loop: 0 			 Variation: 0 			 Cycles: 1000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.024453 ms
Loop: 0 			 Variation: 1 			 Cycles: 1000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.016518 ms
Loop: 0 			 Variation: 2 			 Cycles: 1000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.015490 ms
Loop: 1 			 Variation: 0 			 Cycles: 2000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.048180 ms
Loop: 1 			 Variation: 1 			 Cycles: 2000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.031721 ms
Loop: 1 			 Variation: 2 			 Cycles: 2000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.039178 ms
Loop: 2 			 Variation: 0 			 Cycles: 3000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.079439 ms
Loop: 2 			 Variation: 1 			 Cycles: 3000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.046620 ms
Loop: 2 			 Variation: 2 			 Cycles: 3000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.046990 ms
Loop: 3 			 Variation: 0 			 Cycles: 4000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.123936 ms
Loop: 3 			 Variation: 1 			 Cycles: 4000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.110961 ms
Loop: 3 			 Variation: 2 			 Cycles: 4000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.069220 ms
Loop: 4 			 Variation: 0 			 Cycles: 5000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.137415 ms
Loop: 4 			 Variation: 1 			 Cycles: 5000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.079582 ms
Loop: 4 			 Variation: 2 			 Cycles: 5000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.077660 ms
Loop: 5 			 Variation: 0 			 Cycles: 6000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.150988 ms
Loop: 5 			 Variation: 1 			 Cycles: 6000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.095358 ms
Loop: 5 			 Variation: 2 			 Cycles: 6000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.101411 ms
Loop: 6 			 Variation: 0 			 Cycles: 7000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.178330 ms
Loop: 6 			 Variation: 1 			 Cycles: 7000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.113751 ms
Loop: 6 			 Variation: 2 			 Cycles: 7000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.110501 ms
Loop: 7 			 Variation: 0 			 Cycles: 8000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.193172 ms
Loop: 7 			 Variation: 1 			 Cycles: 8000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.130524 ms
